일시,기온,강수량,풍속,습도,일조,일사,적설,전운량,지면온도
2021_01_03@2,3.2,,2.8,61.0,,,,6.0,1.0
2021_01_03@3,3.3,,3.5,62.0,,,,7.0,1.4
2021_01_03@4,3.4,,2.4,62.0,,,,8.0,1.8
2021_01_03@5,3.5,,3.5,62.0,,,,8.0,1.7
2021_01_03@6,3.4,,3.8,60.0,,,,8.0,1.7
2021_01_03@7,3.3,,3.0,62.0,,,,8.0,1.6
2021_01_03@8,3.2,,2.7,61.0,0.0,0.01,,7.0,1.6
2021_01_03@9,3.6,,3.2,59.0,0.1,0.21,,6.0,2.1
2021_01_03@10,4.1,,3.8,59.0,0.4,0.6,,5.0,4.2
2021_01_03@11,4.8,,2.7,56.0,0.5,1.02,,6.0,7.0
2021_01_03@12,5.5,,2.5,54.0,0.6,1.32,,6.0,11.6
2021_01_03@13,5.3,,3.4,53.0,0.7,1.65,,6.0,12.7
2021_01_03@14,5.3,,2.2,54.0,0.5,1.24,,7.0,11.0
2021_01_03@15,5.2,,2.3,56.0,0.3,0.97,,8.0,8.2
2021_01_03@16,5.1,,1.5,56.0,0.0,0.54,,9.0,7.5
2021_01_03@17,4.8,,2.6,58.0,0.0,0.25,,8.0,4.9
2021_01_03@18,4.8,,2.8,57.0,0.0,0.04,,9.0,3.4
2021_01_03@19,5.0,,3.2,55.0,,,,6.0,2.3
2021_01_03@20,4.5,,0.8,60.0,,,,7.0,2.3
2021_01_03@21,4.6,,1.2,60.0,,,,9.0,2.8
2021_01_03@22,5.1,,1.7,54.0,,,,9.0,2.7
2021_01_03@23,5.0,,1.7,53.0,,,,10.0,2.7
2021_01_04@0,5.3,,2.2,48.0,,,,9.0,2.5
2021_01_04@1,4.8,,1.0,52.0,,,,8.0,2.1
2021_01_04@2,4.3,,1.3,54.0,,,,7.0,1.3
2021_01_04@3,3.5,,2.6,58.0,,,,7.0,1.0
2021_01_04@4,2.9,,1.2,61.0,,,,3.0,0.7
2021_01_04@5,2.6,,1.3,64.0,,,,2.0,0.7
2021_01_04@6,2.5,,1.4,65.0,,,,2.0,0.1
2021_01_04@7,2.4,,1.4,68.0,,,,2.0,0.2
2021_01_04@8,2.4,,2.1,70.0,0.0,0.01,,0.0,0.3
2021_01_04@9,4.0,,2.3,64.0,0.2,0.24,,0.0,0.7
2021_01_04@10,7.6,,1.5,54.0,1.0,0.91,,0.0,3.4
2021_01_04@11,8.8,,1.2,51.0,1.0,1.46,,1.0,7.6
2021_01_04@12,7.9,,2.6,52.0,0.2,1.07,,6.0,10.0
2021_01_04@13,8.2,,3.1,49.0,0.8,1.68,,4.0,15.0
2021_01_04@14,8.0,,1.6,51.0,0.5,1.29,,8.0,12.3
2021_01_04@15,7.9,,2.1,52.0,0.0,0.75,,7.0,10.8
2021_01_04@16,8.3,,2.0,51.0,0.4,0.64,,5.0,8.2
2021_01_04@17,7.8,,1.6,53.0,0.3,0.33,,7.0,6.5
2021_01_04@18,7.8,,1.7,54.0,0.0,0.0,,8.0,5.9
2021_01_04@19,7.8,,1.6,52.0,,,,10.0,5.6
2021_01_04@20,7.5,,1.2,53.0,,,,9.0,4.7
2021_01_04@21,7.0,,1.4,55.0,,,,9.0,4.4
2021_01_04@22,6.8,,1.5,58.0,,,,10.0,4.2
2021_01_04@23,6.6,,1.3,58.0,,,,10.0,4.1
2021_01_05@0,6.5,,1.0,62.0,,,,9.0,3.9
2021_01_05@1,6.5,,2.7,64.0,,,,10.0,3.9
2021_01_05@2,6.7,,2.2,63.0,,,,10.0,3.8
2021_01_05@3,6.8,,1.6,58.0,,,,9.0,3.4
2021_01_05@4,7.3,,1.0,58.0,,,,6.0,4.1
2021_01_05@5,8.9,,2.5,58.0,,,,8.0,4.7
2021_01_05@6,8.8,0.0,3.2,71.0,,,,10.0,5.7
2021_01_05@7,8.7,,4.6,67.0,,,,10.0,5.7
2021_01_05@8,8.0,,6.0,73.0,0.0,0.0,,10.0,6.1
2021_01_05@9,7.8,0.0,7.2,72.0,0.0,0.01,,10.0,6.0
2021_01_05@10,7.2,,5.6,62.0,0.0,0.08,,10.0,5.8
2021_01_05@11,6.8,,4.8,66.0,0.0,0.31,,10.0,6.5
2021_01_05@12,6.3,,7.3,67.0,0.0,0.51,,10.0,7.8
2021_01_05@13,6.3,,3.7,60.0,0.0,0.55,,10.0,7.7
2021_01_05@14,6.1,,4.4,59.0,0.0,0.45,,10.0,7.6
2021_01_05@15,5.4,,3.5,64.0,0.0,0.4,,10.0,7.1
2021_01_05@16,4.8,,4.9,64.0,0.0,0.28,,10.0,6.4
2021_01_05@17,4.2,,3.8,66.0,0.0,0.17,,10.0,5.0
2021_01_05@18,3.8,,4.5,65.0,0.0,0.01,,8.0,4.0
2021_01_05@19,3.2,,3.9,61.0,,,,10.0,3.3
2021_01_05@20,2.7,,4.3,64.0,,,,10.0,3.0
2021_01_05@21,2.7,,3.1,63.0,,,,10.0,2.8
2021_01_05@22,2.8,,3.3,60.0,,,,10.0,2.7
2021_01_05@23,2.9,,3.9,63.0,,,,10.0,2.7
2021_01_06@0,2.8,,3.9,68.0,,,,9.0,2.7
2021_01_06@1,2.7,,3.6,67.0,,,,9.0,2.6
2021_01_06@2,2.8,,4.7,68.0,,,,9.0,2.4
2021_01_06@3,2.8,0.0,5.8,71.0,,,,9.0,2.5
2021_01_06@4,3.0,,4.9,71.0,,,,9.0,2.5
2021_01_06@5,2.4,,5.5,81.0,,,,9.0,1.5
2021_01_06@6,3.1,0.1,6.1,77.0,,,,9.0,2.3
2021_01_06@7,3.0,,5.7,69.0,,,,9.0,2.0
2021_01_06@8,3.4,,5.2,60.0,0.0,0.0,,8.0,2.0
2021_01_06@9,3.8,0.0,5.7,56.0,0.0,0.05,,9.0,2.7
2021_01_06@10,3.9,,5.4,58.0,0.0,0.36,,8.0,4.1
2021_01_06@11,4.0,,5.5,59.0,0.0,0.39,,8.0,4.3
2021_01_06@12,4.1,0.0,5.0,63.0,0.0,0.61,,9.0,5.4
2021_01_06@13,4.2,,5.9,62.0,0.1,0.81,,7.0,6.1
2021_01_06@14,5.4,,5.4,48.0,0.7,1.68,,6.0,12.5
2021_01_06@15,4.8,0.0,5.6,43.0,0.6,1.06,,6.0,7.0
2021_01_06@16,4.3,,5.0,46.0,0.2,0.56,,8.0,4.7
2021_01_06@17,3.9,,5.2,52.0,0.0,0.16,,10.0,3.7
2021_01_06@18,4.0,,5.0,49.0,0.0,0.03,,10.0,2.7
2021_01_06@19,4.0,,5.2,49.0,,,,9.0,2.3
2021_01_06@20,4.4,,4.7,51.0,,,,10.0,2.7
2021_01_06@21,4.6,,5.1,53.0,,,,10.0,2.8
2021_01_06@22,5.2,,6.7,55.0,,,,10.0,3.0
2021_01_06@23,3.5,,8.2,88.0,,,,10.0,3.2
2021_01_07@0,4.4,0.5,10.8,74.0,,,,10.0,3.3
2021_01_07@1,3.2,,11.3,65.0,,,,9.0,2.5
2021_01_07@2,2.2,,8.7,67.0,,,,10.0,1.6
2021_01_07@3,0.9,0.0,9.7,71.0,,,,9.0,0.9
2021_01_07@4,0.3,,7.9,71.0,,,,9.0,0.6
2021_01_07@5,0.3,,9.5,62.0,,,0.1,9.0,0.6
2021_01_07@6,-0.5,0.1,8.4,66.0,,,0.1,9.0,0.4
2021_01_07@7,-1.0,,8.8,67.0,,,0.1,9.0,0.4
2021_01_07@8,0.0,,8.4,58.0,0.0,0.0,0.1,9.0,0.6
2021_01_07@9,-2.1,0.7,7.9,89.0,0.0,0.09,0.2,9.0,0.7
2021_01_07@10,-2.0,,8.9,90.0,0.0,0.22,1.5,9.0,0.9
2021_01_07@11,-2.5,,7.7,87.0,0.0,0.36,1.5,9.0,1.1
2021_01_07@12,-1.4,1.8,8.5,77.0,0.0,0.48,1.6,9.0,1.1
2021_01_07@13,-1.5,,6.0,76.0,0.0,0.63,1.4,9.0,1.2
2021_01_07@14,-1.6,,8.8,74.0,0.0,0.55,1.4,9.0,1.3
2021_01_07@15,-1.1,0.3,5.7,80.0,0.0,0.39,1.6,9.0,1.2
2021_01_07@16,-1.9,,5.7,78.0,0.0,0.27,1.9,9.0,1.2
2021_01_07@17,-1.8,,5.0,81.0,0.0,0.14,2.0,9.0,1.2
2021_01_07@18,-1.6,0.8,6.0,76.0,0.0,0.01,2.2,9.0,1.2
2021_01_07@19,-1.9,,5.9,86.0,,,2.3,9.0,1.2
2021_01_07@20,-2.2,,7.5,90.0,,,3.4,9.0,1.2
2021_01_07@21,-2.7,3.2,3.9,92.0,,,5.4,9.0,1.2
2021_01_07@22,-1.8,,7.0,81.0,,,6.0,9.0,1.2
2021_01_07@23,-1.3,,6.3,85.0,,,6.5,9.0,1.1
2021_01_08@0,-0.6,1.0,8.4,61.0,,,6.5,9.0,1.2
2021_01_08@1,-1.3,,9.3,73.0,,,6.3,9.0,1.2
2021_01_08@2,-1.8,,6.4,85.0,,,6.3,8.0,1.3
2021_01_08@3,-1.9,0.2,10.0,80.0,,,6.1,9.0,1.3
2021_01_08@4,-1.5,,6.7,68.0,,,5.9,8.0,1.3
2021_01_08@5,-1.1,,7.6,58.0,,,5.6,9.0,1.3
2021_01_08@6,-1.4,0.0,6.3,65.0,,,5.2,9.0,1.3
2021_01_08@7,-0.6,,7.5,62.0,,,5.1,8.0,1.3
2021_01_08@8,-0.3,,6.4,67.0,0.0,0.0,4.8,8.0,1.2
2021_01_08@9,-2.0,1.0,7.0,90.0,0.0,0.07,5.5,9.0,1.2
2021_01_08@10,-2.3,,6.9,92.0,0.0,0.14,6.6,9.0,1.2
2021_01_08@11,-2.2,,5.0,86.0,0.0,0.33,7.0,9.0,1.1
2021_01_08@12,-1.7,1.3,4.6,79.0,0.0,0.56,7.0,9.0,1.1
2021_01_08@13,-2.0,,5.9,89.0,0.0,0.32,8.0,9.0,1.1
2021_01_08@14,-1.3,,4.0,90.0,0.1,0.85,8.5,9.0,1.0
2021_01_08@15,-0.2,1.5,7.7,72.0,0.1,0.58,8.8,9.0,1.0
2021_01_08@16,0.8,,6.7,61.0,0.0,0.38,8.8,9.0,1.0
2021_01_08@17,0.7,,6.6,68.0,0.0,0.16,8.5,9.0,1.0
2021_01_08@18,0.5,0.1,7.5,67.0,0.0,0.02,8.3,9.0,1.0
2021_01_08@19,0.4,,9.1,63.0,,,8.0,9.0,1.1
2021_01_08@20,0.5,,7.6,53.0,,,7.7,9.0,1.1
2021_01_08@21,0.3,0.1,8.2,55.0,,,7.7,8.0,1.1
2021_01_08@22,-1.4,,7.9,87.0,,,7.8,9.0,1.1
2021_01_08@23,-1.1,,4.7,88.0,,,8.0,9.0,1.2
2021_01_09@0,-2.1,1.9,7.0,91.0,,,9.2,9.0,1.2
2021_01_09@1,-0.8,,6.3,77.0,,,9.2,8.0,1.2
2021_01_09@2,-0.6,,5.2,67.0,,,8.8,7.0,1.2
2021_01_09@3,-0.3,0.0,6.8,69.0,,,8.8,8.0,1.2
2021_01_09@4,0.7,,7.3,54.0,,,8.0,9.0,1.2
2021_01_09@5,0.1,,6.0,68.0,,,7.7,9.0,1.2
2021_01_09@6,-0.4,0.0,6.8,75.0,,,7.7,8.0,1.3
2021_01_09@7,0.8,,8.1,70.0,,,7.7,8.0,1.3
2021_01_09@8,-0.1,,6.7,79.0,0.0,0.01,7.7,8.0,1.3
2021_01_09@9,1.6,0.1,7.5,69.0,0.0,0.1,7.2,9.0,1.3
2021_01_09@10,1.8,,6.4,63.0,0.0,0.25,7.0,9.0,1.2
2021_01_09@11,2.0,,7.4,66.0,0.0,0.35,6.7,9.0,1.2
2021_01_09@12,1.8,0.0,5.8,67.0,0.0,0.57,6.4,9.0,1.1
2021_01_09@13,2.2,,9.2,67.0,0.0,0.62,6.0,9.0,1.1
2021_01_09@14,2.0,,6.2,77.0,0.0,0.45,5.5,9.0,1.0
2021_01_09@15,1.7,0.5,6.5,85.0,0.3,0.81,5.5,7.0,1.0
2021_01_09@16,2.0,,8.7,67.0,0.1,0.4,5.0,8.0,0.9
2021_01_09@17,1.6,,8.9,77.0,0.0,0.16,5.0,8.0,0.9
2021_01_09@18,2.2,0.1,5.7,74.0,0.0,0.03,5.0,9.0,0.9
2021_01_09@19,2.5,,6.3,66.0,,,5.0,9.0,0.9
2021_01_09@20,2.6,,7.8,57.0,,,5.0,7.0,0.9
2021_01_09@21,2.3,0.2,6.2,68.0,,,4.8,8.0,0.9
2021_01_09@22,1.0,,5.3,66.0,,,4.8,7.0,1.0
2021_01_09@23,0.6,,4.3,68.0,,,4.8,6.0,1.0
2021_01_10@0,1.0,,3.7,64.0,,,4.6,8.0,1.1
2021_01_10@1,0.9,,3.7,65.0,,,4.6,7.0,1.1
2021_01_10@2,0.9,,3.6,67.0,,,4.5,7.0,1.2
2021_01_10@3,1.3,,4.1,69.0,,,4.5,7.0,1.3
2021_01_10@4,1.6,,4.1,68.0,,,4.3,7.0,1.3
2021_01_10@5,1.7,,2.8,64.0,,,4.3,7.0,1.3
2021_01_10@6,1.4,,1.8,69.0,,,4.3,7.0,1.3
2021_01_10@7,1.4,,1.4,74.0,,,4.3,9.0,1.3
2021_01_10@8,1.9,,5.5,82.0,0.0,0.0,4.0,9.0,1.3
2021_01_10@9,2.8,0.0,3.3,73.0,0.0,0.12,4.0,9.0,1.1
2021_01_10@10,3.8,,3.7,63.0,0.0,0.31,3.5,8.0,0.9
2021_01_10@11,4.3,,3.6,59.0,0.0,0.34,3.0,9.0,0.8
2021_01_10@12,4.1,0.0,4.1,63.0,0.0,0.4,2.7,9.0,0.8
2021_01_10@13,4.4,,4.0,68.0,0.0,0.38,2.5,10.0,0.7
2021_01_10@14,4.9,,5.8,60.0,0.0,0.31,1.5,10.0,0.8
2021_01_10@15,5.0,0.0,6.8,62.0,0.0,0.32,1.0,10.0,2.2
2021_01_10@16,4.9,,6.4,58.0,0.0,0.25,0.5,10.0,2.6
2021_01_10@17,4.9,,5.7,58.0,0.0,0.19,0.5,9.0,2.5
2021_01_10@18,5.0,0.0,6.8,63.0,0.0,0.01,0.5,10.0,2.3
2021_01_10@19,4.9,,5.7,56.0,,,,8.0,1.8
2021_01_10@20,4.9,,4.6,61.0,,,,10.0,1.9
2021_01_10@21,4.9,0.0,5.1,52.0,,,,9.0,1.9
2021_01_10@22,4.7,,4.3,53.0,,,,10.0,2.0
2021_01_10@23,4.5,,3.9,52.0,,,,10.0,2.0
2021_01_11@0,4.6,,3.2,52.0,,,,10.0,1.9
2021_01_11@1,4.7,,3.4,54.0,,,,10.0,2.0
2021_01_11@2,4.7,,3.2,53.0,,,,10.0,2.1
2021_01_11@3,4.9,,2.6,56.0,,,,10.0,2.2
2021_01_11@4,4.9,,3.3,57.0,,,,10.0,2.4
2021_01_11@5,5.0,,3.7,55.0,,,,10.0,2.3
2021_01_11@6,4.9,0.0,2.8,63.0,,,,10.0,2.5
2021_01_11@7,4.1,,0.2,63.0,,,,10.0,2.7
2021_01_11@8,3.6,,1.7,74.0,0.0,0.0,,10.0,2.8
2021_01_11@9,2.8,0.2,1.9,84.0,0.0,0.0,,10.0,3.0
2021_01_11@10,1.6,,2.5,91.0,0.0,0.03,,10.0,0.3
2021_01_11@11,2.3,,1.9,91.0,0.0,0.07,,10.0,1.1
2021_01_11@12,3.1,5.6,1.0,89.0,0.0,0.15,,10.0,3.0
2021_01_11@13,3.6,,1.2,83.0,0.0,0.24,,10.0,3.8
2021_01_11@14,3.4,,2.1,78.0,0.0,0.05,,10.0,3.4
2021_01_11@15,3.2,0.2,2.1,86.0,0.0,0.26,,10.0,4.7
2021_01_11@16,3.6,,2.3,84.0,0.0,0.2,,10.0,4.6
2021_01_11@17,3.7,,1.3,81.0,0.0,0.22,,10.0,4.2
2021_01_11@18,3.8,,1.1,81.0,0.0,0.02,,10.0,3.6
2021_01_11@19,3.2,,1.3,83.0,,,,10.0,3.0
2021_01_11@20,3.0,,1.1,86.0,,,,10.0,3.1
2021_01_11@21,1.8,1.9,2.2,91.0,,,,10.0,2.4
2021_01_11@22,2.1,,2.5,92.0,,,,10.0,2.4
2021_01_11@23,1.9,,2.5,92.0,,,,10.0,1.9
2021_01_12@0,2.7,2.9,5.1,82.0,,,,10.0,2.3
2021_01_12@1,3.4,,3.7,81.0,,,,9.0,2.6
2021_01_12@2,4.3,,5.4,71.0,,,,10.0,2.5
2021_01_12@3,4.5,0.2,5.6,56.0,,,,10.0,2.2
2021_01_12@4,4.5,,5.0,53.0,,,,8.0,2.0
2021_01_12@5,4.5,,4.8,54.0,,,,8.0,1.8
2021_01_12@6,4.4,,4.9,57.0,,,,8.0,1.9
2021_01_12@7,4.3,,3.9,53.0,,,,9.0,1.8
2021_01_12@8,4.5,,4.3,54.0,0.0,0.0,,9.0,1.9
2021_01_12@9,4.6,,3.4,53.0,0.0,0.1,,9.0,2.7
2021_01_12@10,4.7,,3.6,55.0,0.0,0.29,,9.0,3.8
2021_01_12@11,4.8,,2.4,56.0,0.0,0.21,,9.0,3.4
2021_01_12@12,4.3,,3.7,70.0,0.1,0.49,,9.0,7.4
2021_01_12@13,5.8,,3.2,59.0,0.7,1.64,,8.0,11.7
2021_01_12@14,4.2,,3.6,75.0,0.2,0.49,,10.0,7.9
2021_01_12@15,3.9,1.0,2.0,85.0,0.0,0.26,,10.0,5.8
2021_01_12@16,4.6,,2.3,81.0,0.0,0.18,,9.0,5.2
2021_01_12@17,5.4,,3.1,67.0,0.0,0.06,,9.0,4.4
2021_01_12@18,5.6,0.0,2.9,60.0,0.0,0.02,,8.0,3.7
2021_01_12@19,5.7,,4.4,56.0,,,,9.0,3.3
2021_01_12@20,5.3,,3.2,58.0,,,,9.0,2.7
2021_01_12@21,4.9,,3.3,60.0,,,,4.0,1.8
2021_01_12@22,4.8,,3.3,59.0,,,,4.0,1.2
2021_01_12@23,4.6,,3.2,60.0,,,,4.0,1.0
2021_01_13@0,5.3,,3.7,57.0,,,,5.0,1.5
2021_01_13@1,5.8,,2.9,58.0,,,,7.0,2.2
2021_01_13@2,6.4,,3.4,56.0,,,,9.0,2.6
2021_01_13@3,6.3,,3.5,56.0,,,,7.0,2.3
2021_01_13@4,6.7,,3.7,54.0,,,,9.0,2.7
2021_01_13@5,7.2,,3.4,55.0,,,,9.0,3.2
2021_01_13@6,7.6,,3.2,52.0,,,,9.0,3.4
2021_01_13@7,7.7,,3.1,53.0,,,,8.0,3.2
2021_01_13@8,7.8,,4.1,53.0,0.0,0.01,,7.0,2.9
2021_01_13@9,8.5,,4.4,52.0,0.3,0.28,,3.0,3.7
2021_01_13@10,10.5,,2.9,46.0,1.0,0.9,,0.0,5.5
2021_01_13@11,12.0,,4.3,45.0,1.0,1.47,,0.0,11.0
2021_01_13@12,12.6,,5.5,40.0,1.0,1.86,,0.0,15.2
2021_01_13@13,13.0,,6.5,44.0,1.0,2.01,,0.0,17.3
2021_01_13@14,13.0,,7.7,46.0,1.0,1.94,,0.0,17.9
2021_01_13@15,13.1,,5.4,45.0,1.0,1.69,,0.0,12.1
2021_01_13@16,12.7,,6.5,47.0,1.0,1.2,,0.0,9.5
2021_01_13@17,11.8,,5.4,46.0,1.0,0.59,,0.0,7.1
2021_01_13@18,10.8,,4.5,50.0,0.3,0.1,,0.0,5.5
2021_01_13@19,10.7,,4.8,45.0,,,,0.0,4.7
2021_01_13@20,10.7,,5.6,43.0,,,,0.0,4.2
2021_01_13@21,10.7,,4.6,42.0,,,,0.0,3.8
2021_01_13@22,10.8,,3.6,43.0,,,,0.0,3.7
2021_01_13@23,10.4,,4.0,49.0,,,,0.0,3.8
2021_01_14@0,10.5,,3.7,54.0,,,,0.0,3.7
2021_01_14@1,10.5,,3.7,56.0,,,,0.0,3.9
2021_01_14@2,10.7,,3.8,58.0,,,,0.0,3.9
2021_01_14@3,9.9,,2.6,62.0,,,,0.0,3.5
2021_01_14@4,9.6,,3.5,63.0,,,,0.0,3.7
2021_01_14@5,9.6,,3.4,64.0,,,,0.0,3.7
2021_01_14@6,8.9,,1.8,67.0,,,,0.0,3.0
2021_01_14@7,9.0,,1.7,67.0,,,,1.0,3.0
2021_01_14@8,8.4,,1.2,73.0,0.0,0.01,,1.0,4.3
2021_01_14@9,8.2,,1.8,68.0,0.1,0.27,,2.0,4.7
2021_01_14@10,11.9,,1.4,67.0,1.0,0.84,,2.0,7.2
2021_01_14@11,13.5,,1.9,62.0,1.0,1.4,,1.0,13.2
2021_01_14@12,13.0,,3.6,64.0,1.0,1.77,,0.0,17.7
2021_01_14@13,13.8,,3.2,60.0,1.0,1.96,,0.0,20.6
2021_01_14@14,14.2,,3.0,56.0,1.0,1.91,,0.0,21.1
2021_01_14@15,14.9,,2.6,57.0,1.0,1.66,,0.0,14.8
2021_01_14@16,14.8,,1.7,50.0,1.0,1.17,,0.0,12.2
2021_01_14@17,13.9,,1.8,56.0,1.0,0.59,,0.0,9.4
2021_01_14@18,13.2,,2.0,57.0,0.4,0.09,,0.0,7.5
2021_01_14@19,11.6,,2.3,60.0,,,,0.0,6.1
2021_01_14@20,10.4,,1.7,64.0,,,,0.0,5.1
2021_01_14@21,9.5,,2.1,66.0,,,,0.0,4.5
2021_01_14@22,8.9,,2.3,61.0,,,,0.0,4.0
2021_01_14@23,8.5,,2.8,65.0,,,,0.0,3.9
2021_01_15@0,8.5,,2.8,59.0,,,,0.0,3.7
2021_01_15@1,7.8,,1.5,65.0,,,,2.0,3.2
2021_01_15@2,8.1,,2.5,61.0,,,,7.0,3.1
2021_01_15@3,8.1,,3.0,66.0,,,,6.0,3.4
2021_01_15@4,8.2,,2.4,69.0,,,,6.0,3.5
2021_01_15@5,8.1,,2.2,75.0,,,,6.0,3.3
2021_01_15@6,7.9,,2.5,80.0,,,,1.0,3.4
2021_01_15@7,8.1,,2.4,81.0,,,,6.0,3.7
2021_01_15@8,8.6,,2.2,81.0,0.0,0.01,,7.0,4.1
2021_01_15@9,9.3,,1.3,79.0,0.0,0.14,,7.0,4.8
2021_01_15@10,13.5,,1.8,66.0,0.7,0.79,,2.0,7.4
2021_01_15@11,16.6,,6.2,51.0,1.0,1.59,,3.0,14.9
2021_01_15@12,17.3,,5.0,50.0,1.0,1.93,,3.0,19.8
2021_01_15@13,17.5,,5.7,48.0,1.0,2.15,,2.0,22.1
2021_01_15@14,17.4,,5.9,49.0,1.0,2.05,,2.0,22.9
2021_01_15@15,17.7,,5.9,48.0,1.0,1.77,,2.0,16.3
2021_01_15@16,17.4,,5.2,50.0,1.0,1.24,,3.0,13.7
2021_01_15@17,16.3,,4.9,55.0,0.9,0.59,,4.0,11.7
2021_01_15@18,15.4,,3.7,60.0,0.1,0.07,,7.0,10.1
2021_01_15@19,14.7,,3.2,67.0,,,,8.0,9.5
2021_01_15@20,14.5,,3.8,71.0,,,,6.0,10.1
2021_01_15@21,12.6,,3.7,85.0,,,,8.0,10.6
2021_01_15@22,11.6,,3.5,82.0,,,,6.0,10.0
2021_01_15@23,10.0,,6.3,83.0,,,,10.0,9.2
2021_01_16@0,8.5,,5.5,75.0,,,,9.0,8.2
2021_01_16@1,8.2,,3.0,74.0,,,,8.0,7.3
2021_01_16@2,8.1,,3.0,71.0,,,,6.0,6.7
2021_01_16@3,7.7,,4.5,71.0,,,,9.0,6.5
2021_01_16@4,7.2,,5.0,66.0,,,,8.0,6.1
2021_01_16@5,6.9,,3.7,62.0,,,,9.0,5.7
2021_01_16@6,6.7,,4.5,67.0,,,,9.0,5.6
2021_01_16@7,6.0,,4.7,66.0,,,,9.0,5.2
2021_01_16@8,5.4,,4.6,64.0,0.0,0.0,,9.0,4.8
2021_01_16@9,5.3,,5.1,64.0,0.0,0.11,,9.0,5.3
2021_01_16@10,5.4,,5.5,66.0,0.0,0.27,,9.0,6.2
2021_01_16@11,5.5,,5.0,64.0,0.2,0.55,,9.0,7.3
2021_01_16@12,5.2,,4.4,64.0,0.2,0.8,,9.0,8.6
2021_01_16@13,5.5,,4.4,61.0,0.2,1.03,,8.0,10.3
2021_01_16@14,5.4,,5.5,58.0,0.5,1.39,,8.0,11.2
2021_01_16@15,5.1,,5.3,61.0,0.2,0.81,,9.0,8.7
